trial,phase_distance,phase_0,phase_1,phase_2,phase_3
159,1.2613075100897628,2.2507908835271524e-06,0.5128480130990778,0.11642920004908228,0.6732668975844347
160,3.0701999441885355,2.2507883846461094e-06,0.25411950665836486,0.556384472985958,0.897861406946974
161,1.9935702892707938,2.2507908835271524e-06,0.9610498103997356,0.02923407751164704,0.49737119585551126
162,2.605351722086828,2.2507908835271524e-06,0.7371585149259675,0.16205750284110537,0.9944582090903488
163,2.479783952490085,2.2507908835271524e-06,0.9845177646176041,0.9895573591566921,0.2376945818756486
164,2.775034249650514,2.2507908835271524e-06,0.6981892588324257,0.7107276029557272,0.06162670799504059
165,1.4150064029621146,2.2507908835271524e-06,0.35122673594691994,0.8292069289420051,0.5609792517124621
166,2.820790886496613,2.2507896340869776e-06,0.03945030478417391,0.4951859311388186,0.521899453167666
167,2.7282525284962973,2.2507908835271524e-06,0.017821714686732538,0.6730909649516748,0.6181912117480048
168,2.6790276875392034,2.2507896340869776e-06,0.15061668594910907,0.9853187950683192,0.003917777524937494
169,2.8292237667003346,2.2507908835271524e-06,0.9834606173998445,0.030475800483949735,0.9767744804505921
170,2.5403886282715837,2.2507896340869776e-06,0.8805705888677077,0.8293733674479602,0.7458087725837642
171,1.8409040739506561,2.2507908835271524e-06,0.6643042902104694,0.17168803883799416,0.30189263026561475
172,3.338251798327371,2.2507908835271524e-06,0.9622200039627714,0.6233170371682455,0.07692154607875154
173,3.401084504417073,2.2507908835271524e-06,0.06280442610693414,0.49105785694523435,0.9154318271785289
174,2.0851782914605255,2.2507908835271524e-06,0.5841585147244939,0.43029921446029396,0.4173679966475526
175,2.138402052268141,2.2507908835271524e-06,0.8127075607246494,0.8006140937717965,0.39362283038490703
176,2.8757960781440435,2.2507896340869776e-06,0.06481176231755613,0.8885366195858333,0.969336610304424
177,2.917786046502185,2.2507896340869776e-06,0.620736374966423,0.5280466673296511,0.010021286339884085
178,2.100944546987077,2.2507908835271524e-06,0.6735139481287681,0.14060340135794702,0.2008769087622306
179,1.854497135774692,2.2507908835271524e-06,0.45152722513866517,0.6482689950911105,0.5628682600010062
180,2.383785578864288,2.2507908835271524e-06,0.25550220950389485,0.7102178663874278,0.3105923377417124
181,2.4224075433317678,2.2507908835271524e-06,0.8416911540909511,0.3110658692796117,0.5275253517604166
182,2.007849844815846,2.2507908835271524e-06,0.5950186673884805,0.9905017087494383,0.09099403964241216
183,2.7293433998141925,2.2507908835271524e-06,0.4660969821677213,0.5490203309870392,0.884760293527099
184,3.2078951326838685,2.2507908835271524e-06,0.12789801409376753,0.34534011578754387,0.07627836278341593
185,2.8815522655399355,2.2507908835271524e-06,0.6071817625113063,0.4709270181611489,0.9494529635231768
186,2.804667467234,2.2507921329666335e-06,0.9381070609380368,0.433203833747803,0.43023954638579837
187,2.719399644328181,2.2507908835271524e-06,0.2648243401510843,0.7386577366157566,0.877785024581119
188,2.649184991792193,2.2507883846461094e-06,0.4817986704515789,0.33407623456865904,0.008656070372915275
189,1.0317729022102593,2.2507883846461094e-06,0.6685649320090088,0.016535177209352745,0.47102966331825336
190,3.0856938788033443,2.2507908835271524e-06,0.8164465058466092,0.4490322070165403,0.18344058078465927
191,2.0526825956481014,2.2507908835271524e-06,0.3567770602576818,0.0904781809492173,0.15324710682541373
192,3.3021300886256233,2.2507908835271524e-06,0.9689064531576451,0.5257449273304211,0.8304282090748974
193,1.898113817286874,2.2507908835271524e-06,0.2601737027238699,0.05489050682965595,0.28100635578449257
194,1.1144274033501054,2.2507908835271524e-06,0.48175857537312294,0.9707346374402597,0.3159197850109301
195,2.8912645528130927,2.2507908835271524e-06,0.8383297473318694,0.19632527802098013,0.9711895280544733
196,3.399058395414236,2.2507908835271524e-06,0.05864195332235024,0.5247636337092769,0.08647248549405255
197,3.351853952390158,2.2507908835271524e-06,0.874445497193993,0.5573978694666707,0.03408639789319194
198,1.9182759295889438,2.2507883846461094e-06,0.4532965268231284,0.39456542482130186,0.520967331505894
199,2.0012262759125825,2.2507908835271524e-06,0.7983746893439525,0.1952679978413759,0.4546525447734272
200,3.4427518205459546,2.2507896340869776e-06,0.017091358919605882,0.4490713175859407,0.9704330138511822
201,2.3013739851497177,2.2507908835271524e-06,0.3845334199424449,0.30500132723066814,0.7591699279901337
202,2.089636668628018,2.2507908835271524e-06,0.7309846331847962,0.7184390649439745,0.5737579385308214
203,2.133356342144981,2.2507896340869776e-06,0.2365256001082019,0.8785189296784262,0.7362335181608569
204,1.543003363436421,2.2507896340869776e-06,0.36612347127198575,0.8921320454208144,0.6907058944258527
205,2.3445721941010347,2.2507908835271524e-06,0.2348177408082813,0.07321389779108217,0.15744602701312807
206,2.6755364727004824,2.2507908835271524e-06,0.15217701572440578,0.6629150225416631,0.33660398260695995
207,2.9491209207414237,2.2507908835271524e-06,0.949550670747982,0.4649930621657072,0.6520277315106892
208,1.8858668386476045,2.2507908835271524e-06,0.6117232981221008,0.6685012997873472,0.5514654753384008
209,2.6888642653267474,2.2507908835271524e-06,0.2251210904577318,0.8165115740150379,0.91639122681869
210,2.275773663032967,2.2507883846461094e-06,0.08957342950638056,0.12800047226524675,0.3450873018073681
211,3.3040037658438792,2.2507908835271524e-06,0.9814350104092335,0.5415983728835729,0.16685419678030078
212,3.1382077288942205,2.2507908835271524e-06,0.9085808361180938,0.2705716927810672,0.9524827855173139
213,1.9562580178184459,2.2507908835271524e-06,0.440532638700361,0.10300268410650168,0.1389984216495108
214,2.4908144602494886,2.2507908835271524e-06,0.15617445395848686,0.6671033103292869,0.45023340523465205
215,1.9922333928452631,2.2507908835271524e-06,0.527683176367963,0.9969547190256526,0.9604126455629101
216,2.6667485387269654,2.2507908835271524e-06,0.4160896031301309,0.4291977362322433,0.16346645246022756
217,1.720632649678345,2.2507908835271524e-06,0.4612040226524161,0.7446935229017548,0.3489842895025569
218,0.5854848589609475,2.2507883846461094e-06,0.4616929411440907,0.04454888334586385,0.5731047334827656
219,2.6116738624787583,2.2507883846461094e-06,0.2509438020745423,0.35117630240138104,0.27838404042573983
220,1.9309538769485797,2.2507908835271524e-06,0.38189789234084537,0.21956644473051876,0.7165591559155016
