trial,phase_distance,phase_0,phase_1,phase_2,phase_3
172,2.1780509231665395,2.2507908835271524e-06,0.9622200039627714,0.6233170371682455,0.07692154607875154
173,2.0310607156893394,2.2507908835271524e-06,0.06280442610693414,0.49105785694523435,0.9154318271785289
174,2.0489865610530176,2.2507908835271524e-06,0.5841585147244939,0.43029921446029396,0.4173679966475526
175,2.9937916714192787,2.2507908835271524e-06,0.8127075607246494,0.8006140937717965,0.39362283038490703
176,2.72078880666533,2.2507896340869776e-06,0.06481176231755613,0.8885366195858333,0.969336610304424
177,0.7637736830668869,2.2507896340869776e-06,0.620736374966423,0.5280466673296511,0.010021286339884085
178,2.3951767881658648,2.2507908835271524e-06,0.6735139481287681,0.14060340135794702,0.2008769087622306
179,2.17828568542947,2.2507908835271524e-06,0.45152722513866517,0.6482689950911105,0.5628682600010062
180,2.4858214439454938,2.2507908835271524e-06,0.25550220950389485,0.7102178663874278,0.3105923377417124
181,2.8828829245779537,2.2507908835271524e-06,0.8416911540909511,0.3110658692796117,0.5275253517604166
182,2.158814590291243,2.2507908835271524e-06,0.5950186673884805,0.9905017087494383,0.09099403964241216
183,0.8006847605597127,2.2507908835271524e-06,0.4660969821677213,0.5490203309870392,0.884760293527099
184,2.1179867226074274,2.2507908835271524e-06,0.12789801409376753,0.34534011578754387,0.07627836278341593
185,0.7549439398724218,2.2507908835271524e-06,0.6071817625113063,0.4709270181611489,0.9494529635231768
186,2.799137415981402,2.2507921329666335e-06,0.9381070609380368,0.433203833747803,0.43023954638579837
187,2.0573837197683584,2.2507908835271524e-06,0.2648243401510843,0.7386577366157566,0.877785024581119
188,1.003966068435226,2.2507883846461094e-06,0.4817986704515789,0.33407623456865904,0.008656070372915275
189,2.996147997681784,2.2507883846461094e-06,0.6685649320090088,0.016535177209352745,0.47102966331825336
190,2.024940353009788,2.2507908835271524e-06,0.8164465058466092,0.4490322070165403,0.18344058078465927
191,2.3021140906180233,2.2507908835271524e-06,0.3567770602576818,0.0904781809492173,0.15324710682541373
192,2.240500662388192,2.2507908835271524e-06,0.9689064531576451,0.5257449273304211,0.8304282090748974
193,2.8533567947797276,2.2507908835271524e-06,0.2601737027238699,0.05489050682965595,0.28100635578449257
194,2.6046680532954487,2.2507908835271524e-06,0.48175857537312294,0.9707346374402597,0.3159197850109301
195,2.3975687414607174,2.2507908835271524e-06,0.8383297473318694,0.19632527802098013,0.9711895280544733
196,2.0440002551167784,2.2507908835271524e-06,0.05864195332235024,0.5247636337092769,0.08647248549405255
197,1.8930479909932934,2.2507908835271524e-06,0.874445497193993,0.5573978694666707,0.03408639789319194
198,2.1192467857843447,2.2507883846461094e-06,0.4532965268231284,0.39456542482130186,0.520967331505894
199,3.0318720865827307,2.2507908835271524e-06,0.7983746893439525,0.1952679978413759,0.4546525447734272
200,2.0308662238057233,2.2507896340869776e-06,0.017091358919605882,0.4490713175859407,0.9704330138511822
201,1.9263959135670472,2.2507908835271524e-06,0.3845334199424449,0.30500132723066814,0.7591699279901337
202,2.675190926641961,2.2507908835271524e-06,0.7309846331847962,0.7184390649439745,0.5737579385308214
203,2.790525920745138,2.2507896340869776e-06,0.2365256001082019,0.8785189296784262,0.7362335181608569
204,2.6368123121829514,2.2507896340869776e-06,0.36612347127198575,0.8921320454208144,0.6907058944258527
205,2.6237329468543504,2.2507908835271524e-06,0.2348177408082813,0.07321389779108217,0.15744602701312807
206,2.6736047137293717,2.2507908835271524e-06,0.15217701572440578,0.6629150225416631,0.33660398260695995
207,2.6652217569299395,2.2507908835271524e-06,0.949550670747982,0.4649930621657072,0.6520277315106892
208,2.321473891403404,2.2507908835271524e-06,0.6117232981221008,0.6685012997873472,0.5514654753384008
209,2.3222275460764403,2.2507908835271524e-06,0.2251210904577318,0.8165115740150379,0.91639122681869
210,3.194354134636835,2.2507883846461094e-06,0.08957342950638056,0.12800047226524675,0.3450873018073681
211,2.2486388743217827,2.2507908835271524e-06,0.9814350104092335,0.5415983728835729,0.16685419678030078
212,2.34727892465761,2.2507908835271524e-06,0.9085808361180938,0.2705716927810672,0.9524827855173139
213,2.1092751122004416,2.2507908835271524e-06,0.440532638700361,0.10300268410650168,0.1389984216495108
214,2.831907961192221,2.2507908835271524e-06,0.15617445395848686,0.6671033103292869,0.45023340523465205
215,2.022711775820335,2.2507908835271524e-06,0.527683176367963,0.9969547190256526,0.9604126455629101
216,1.1965053134255041,2.2507908835271524e-06,0.4160896031301309,0.4291977362322433,0.16346645246022756
217,2.2710517661355984,2.2507908835271524e-06,0.4612040226524161,0.7446935229017548,0.3489842895025569
218,2.787922685108149,2.2507883846461094e-06,0.4616929411440907,0.04454888334586385,0.5731047334827656
219,2.27055927959586,2.2507883846461094e-06,0.2509438020745423,0.35117630240138104,0.27838404042573983
220,2.3071840699786574,2.2507908835271524e-06,0.38189789234084537,0.21956644473051876,0.7165591559155016
221,0.7863302142230387,2.2507908835271524e-06,0.43896116330733187,0.4020747285438153,0.052109052049802686
222,2.5936882399923546,2.2507883846461094e-06,0.04419070180849359,0.1850461968764528,0.01596658512049706
223,2.6327459879123594,2.2507908835271524e-06,0.6307361703504166,0.03220157966652535,0.2767431168600654
